Volcano Number,Volcano Name,Eruption Number,Eruption Category,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude
264050,Sangeang Api,22228,Confirmed Eruption,,2017,7,15,2017,7,30,-8.2,119.07
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,,2017,7,2,2017,7,2,-7.2,109.92
261140,Marapi,22226,Confirmed Eruption,,2017,6,4,2017,6,4,-0.381,100.473
262000,Krakatau,22188,Confirmed Eruption,,2017,2,19,2017,2,19,-6.102,105.423
261170,Kerinci,22172,Confirmed Eruption,1,2016,11,15,2016,11,21,-1.697,101.264
268060,Gamalama,22150,Confirmed Eruption,1,2016,8,3,2016,8,4,0.8,127.33
264030,Rinjani,22149,Confirmed Eruption,2,2016,8,1,2016,9,27,-8.42,116.47
261170,Kerinci,22125,Confirmed Eruption,2,2016,3,31,2016,6,9,-1.697,101.264
266030,Soputan,22105,Confirmed Eruption,3,2016,1,2,2016,2,7,1.112,124.737
261140,Marapi,22111,Confirmed Eruption,1,2015,11,14,2015,11,14,-0.381,100.473
263310,Tengger Caldera,22103,Confirmed Eruption,2,2015,11,12,2016,11,12,-7.942,112.95
264030,Rinjani,22104,Confirmed Eruption,2,2015,10,25,2015,12,24,-8.42,116.47
266100,Lokon-Empung,21093,Confirmed Eruption,1,2015,8,30,2015,9,28,1.358,124.792
268060,Gamalama,21087,Confirmed Eruption,2,2015,7,16,2015,9,8,0.8,127.33
264270,Sirung,21086,Confirmed Eruption,1,2015,7,7,2015,7,8,-8.508,124.13
266100,Lokon-Empung,21071,Confirmed Eruption,1,2015,5,20,2015,5,27,1.358,124.792
263340,Raung,21070,Confirmed Eruption,3,2015,2,1,2015,8,22,-8.119,114.056
266030,Soputan,20988,Confirmed Eruption,3,2015,1,6,2015,3,7,1.112,124.737
268060,Gamalama,20989,Confirmed Eruption,2,2014,12,18,2014,12,25,0.8,127.33
267020,Karangetang,20914,Confirmed Eruption,2,2014,6,8,2016,3,15,2.781,125.407
264050,Sangeang Api,20911,Confirmed Eruption,3,2014,5,30,2015,11,5,-8.2,119.07
263300,Semeru,22221,Confirmed Eruption,,2014,4,1,2017,7,10,-8.108,112.922
262000,Krakatau,20932,Confirmed Eruption,1,2014,3,31,2014,3,31,-6.102,105.423
263250,Merapi,20892,Confirmed Eruption,3,2014,3,9,2014,4,20,-7.542,110.442
263180,Slamet,20933,Confirmed Eruption,2,2014,3,8,2014,9,17,-7.242,109.208
263280,Kelut,20934,Confirmed Eruption,4,2014,2,13,2014,2,15,-7.93,112.308
267020,Karangetang,20913,Confirmed Eruption,1,2014,2,9,2014,2,9,2.781,125.407
261140,Marapi,20931,Confirmed Eruption,1,2014,2,3,2014,2,26,-0.381,100.473
263250,Merapi,20842,Confirmed Eruption,2,2013,11,18,2013,11,18,-7.542,110.442
263090,Tangkubanparahu,20987,Confirmed Eruption,1,2013,10,5,2013,10,5,-6.77,107.6
261080,Sinabung,20818,Confirmed Eruption,2,2013,9,15,2017,8,4,3.17,98.392
264250,Iliwerung,20912,Confirmed Eruption,0,2013,8,20,2013,8,20,-8.53,123.57
263300,Semeru,22220,Confirmed Eruption,,2013,6,4,2013,11,29,-8.108,112.922
261170,Kerinci,22216,Confirmed Eruption,2,2013,6,2,2013,6,2,-1.697,101.264
263090,Tangkubanparahu,20822,Confirmed Eruption,2,2013,2,21,2013,3,6,-6.77,107.6
264150,Paluweh,20806,Confirmed Eruption,2,2012,10,8,2013,10,31,-8.32,121.708
261140,Marapi,20797,Confirmed Eruption,1,2012,9,26,2012,9,26,-0.381,100.473
268060,Gamalama,20766,Confirmed Eruption,1,2012,9,15,2012,9,17,0.8,127.33
266100,Lokon-Empung,20794,Confirmed Eruption,2,2012,9,15,2013,9,9,1.358,124.792
266030,Soputan,20821,Confirmed Eruption,3,2012,8,26,2012,9,19,1.112,124.737
267020,Karangetang,20776,Confirmed Eruption,2,2012,5,14,2013,9,5,2.781,125.407
264270,Sirung,20819,Confirmed Eruption,2,2012,5,8,2012,5,12,-8.508,124.13
261140,Marapi,20796,Confirmed Eruption,1,2012,3,1,2012,5,18,-0.381,100.473
264230,Lewotolo,20791,Confirmed Eruption,1,2012,1,2,2012,1,14,-8.272,123.505
261170,Kerinci,22217,Confirmed Eruption,1,2011,12,15,2011,12,15,-1.697,101.264
268060,Gamalama,20765,Confirmed Eruption,2,2011,12,5,2011,12,23,0.8,127.33
261140,Marapi,20795,Confirmed Eruption,2,2011,8,3,2011,10,12,-0.381,100.473
262000,Krakatau,20787,Confirmed Eruption,2,2011,7,31,2012,9,9,-6.102,105.423
266030,Soputan,20820,Confirmed Eruption,3,2011,7,3,2011,8,15,1.112,124.737
266100,Lokon-Empung,20793,Confirmed Eruption,2,2011,6,26,2012,5,1,1.358,124.792
263300,Semeru,22219,Confirmed Eruption,,2011,5,13,2012,7,20,-8.108,112.922
267020,Karangetang,20775,Confirmed Eruption,2,2011,3,11,2011,8,13,2.781,125.407
266100,Lokon-Empung,20792,Confirmed Eruption,1,2011,2,22,2011,2,22,1.358,124.792
263310,Tengger Caldera,16064,Confirmed Eruption,3,2010,11,26,2012,6,13,-7.942,112.95
263250,Merapi,15925,Confirmed Eruption,4,2010,10,26,2012,7,15,-7.542,110.442
262000,Krakatau,15634,Confirmed Eruption,2,2010,10,25,2011,3,9,-6.102,105.423
261080,Sinabung,15404,Confirmed Eruption,2,2010,8,27,2010,9,18,3.17,98.392
267020,Karangetang,16544,Confirmed Eruption,3,2010,8,6,2010,12,16,2.781,125.407
263300,Semeru,22218,Confirmed Eruption,,2010,1,5,2010,11,29,-8.108,112.922
263200,Dieng Volcanic Complex,15793,Confirmed Eruption,1,2009,9,27,2009,9,27,-7.2,109.92
264030,Rinjani,16227,Confirmed Eruption,2,2009,5,2,2010,5,23,-8.42,116.47
263180,Slamet,15765,Confirmed Eruption,1,2009,4,21,2009,6,22,-7.242,109.208
261170,Kerinci,15533,Confirmed Eruption,1,2009,4,1,2009,6,19,-1.697,101.264
262000,Krakatau,15633,Confirmed Eruption,2,2009,3,25,2009,9,16,-6.102,105.423
263200,Dieng Volcanic Complex,15792,Confirmed Eruption,1,2009,1,15,2009,1,15,-7.2,109.92
261230,Dempo,15575,Confirmed Eruption,1,2009,1,1,2009,1,1,-4.03,103.13
267020,Karangetang,16543,Confirmed Eruption,2,2008,11,29,2010,3,24,2.781,125.407
263340,Raung,16166,Confirmed Eruption,2,2008,6,12,2008,6,17,-8.119,114.056
266030,Soputan,16439,Confirmed Eruption,3,2008,6,6,2008,11,2,1.112,124.737
264160,Egon,16278,Confirmed Eruption,2,2008,4,15,2008,4,28,-8.676,122.455
268030,Ibu,16582,Confirmed Eruption,1,2008,4,5,2017,6,19,1.488,127.63
261170,Kerinci,15532,Confirmed Eruption,1,2008,3,24,,,,-1.697,101.264
261160,Talang,15499,Confirmed Eruption,2,2007,11,27,2007,12,16,-0.979,100.681
262000,Krakatau,15626,Confirmed Eruption,2,2007,10,23,2008,8,30,-6.102,105.423
263280,Kelut,15958,Confirmed Eruption,2,2007,10,16,2008,4,16,-7.93,112.308
261170,Kerinci,15531,Confirmed Eruption,1,2007,9,9,2007,9,9,-1.697,101.264
263340,Raung,16165,Confirmed Eruption,2,2007,7,26,2007,8,26,-8.119,114.056
268040,Gamkonora,16595,Confirmed Eruption,2,2007,7,8,2007,7,16,1.38,127.53
266030,Soputan,16438,Confirmed Eruption,3,2007,6,16,2007,11,9,1.112,124.737
261160,Talang,15498,Confirmed Eruption,2,2007,3,19,2007,6,22,-0.979,100.681
264260,"Tara, Batu",16353,Confirmed Eruption,2,2007,1,17,2015,11,26,-7.791,123.585
266030,Soputan,16434,Confirmed Eruption,1,2006,12,14,2006,12,26,1.112,124.737
261230,Dempo,15574,Confirmed Eruption,1,2006,9,25,2006,9,25,-4.03,103.13
261160,Talang,15497,Confirmed Eruption,1,2006,9,10,2006,9,10,-0.979,100.681
267020,Karangetang,16541,Confirmed Eruption,1,2006,7,3,2007,10,16,2.781,125.407
263250,Merapi,15923,Confirmed Eruption,1,2006,3,16,2007,8,9,-7.542,110.442
266030,Soputan,16433,Confirmed Eruption,1,2005,12,26,2006,1,24,1.112,124.737
266020,Ambang,20947,Confirmed Eruption,1,2005,12,22,,,,0.75,124.42
266030,Soputan,16437,Confirmed Eruption,2,2005,4,19,2005,7,18,1.112,124.737
261160,Talang,15496,Confirmed Eruption,2,2005,4,12,2005,7,18,-0.979,100.681
264160,Egon,16277,Confirmed Eruption,1,2005,2,6,2005,2,27,-8.676,122.455
266030,Soputan,16436,Confirmed Eruption,3,2004,10,18,2004,12,27,1.112,124.737
264030,Rinjani,16226,Confirmed Eruption,2,2004,10,1,2004,10,5,-8.42,116.47
261140,Marapi,15479,Confirmed Eruption,2,2004,8,5,2004,8,5,-0.381,100.473
264160,Egon,16276,Confirmed Eruption,2,2004,7,3,2004,9,16,-8.676,122.455
261170,Kerinci,15529,Confirmed Eruption,2,2004,6,22,2004,10,24,-1.697,101.264
263310,Tengger Caldera,16063,Confirmed Eruption,2,2004,6,8,2004,6,24,-7.942,112.95
267040,Awu,16570,Confirmed Eruption,2,2004,6,2,2004,8,16,3.67,125.5
268030,Ibu,16581,Confirmed Eruption,0,2004,5,16,2005,2,22,1.488,127.63
267020,Karangetang,16540,Confirmed Eruption,2,2004,4,2,2005,8,5,2.781,125.407
264160,Egon,16275,Confirmed Eruption,1,2004,1,29,2004,2,5,-8.676,122.455
266100,Lokon-Empung,16463,Confirmed Eruption,3,2003,9,12,2003,9,12,1.358,124.792
268060,Gamalama,16675,Confirmed Eruption,2,2003,7,31,2003,10,2,0.8,127.33
263200,Dieng Volcanic Complex,15791,Confirmed Eruption,1,2003,7,16,2003,7,16,-7.2,109.92
264200,Leroboleng,16308,Confirmed Eruption,3,2003,6,26,2003,7,29,-8.365,122.833
264180,Lewotobi,16304,Confirmed Eruption,2,2003,5,30,2003,9,1,-8.542,122.775
266100,Lokon-Empung,16462,Confirmed Eruption,2,2002,12,23,2003,4,1,1.358,124.792
263100,Papandayan,15688,Confirmed Eruption,2,2002,11,11,2002,12,19,-7.32,107.73
264180,Lewotobi,16300,Confirmed Eruption,1,2002,10,12,2002,10,12,-8.542,122.775
267010,Ruang,16493,Confirmed Eruption,4,2002,9,25,2002,9,29,2.3,125.37
263340,Raung,16162,Confirmed Eruption,2,2002,6,16,2002,8,25,-8.119,114.056
266100,Lokon-Empung,16461,Confirmed Eruption,2,2002,2,9,2002,5,16,1.358,124.792
261160,Talang,15494,Confirmed Eruption,1,2001,9,25,2001,11,15,-0.979,100.681
262000,Krakatau,15625,Confirmed Eruption,1,2001,7,21,2001,9,17,-6.102,105.423
268030,Ibu,16580,Confirmed Eruption,0,2001,5,28,2001,10,3,1.488,127.63
261170,Kerinci,15528,Confirmed Eruption,2,2001,5,12,2002,8,27,-1.697,101.264
261140,Marapi,15478,Confirmed Eruption,2,2001,4,13,2001,6,5,-0.381,100.473
264090,Inielika,16258,Confirmed Eruption,2,2001,1,11,2001,3,16,-8.73,120.98
261030,Peuet Sague,15395,Confirmed Eruption,2,2000,12,25,2000,12,26,4.914,96.329
263310,Tengger Caldera,16062,Confirmed Eruption,2,2000,11,29,2001,1,15,-7.942,112.95
261220,Kaba,15548,Confirmed Eruption,1,2000,8,22,2000,8,27,-3.522,102.615
263340,Raung,16161,Confirmed Eruption,2,2000,7,9,2000,7,9,-8.119,114.056
262000,Krakatau,15624,Confirmed Eruption,1,2000,5,29,2000,10,30,-6.102,105.423
266030,Soputan,16435,Confirmed Eruption,2,2000,5,13,2003,9,4,1.112,124.737
266100,Lokon-Empung,16460,Confirmed Eruption,2,2000,5,10,2001,8,18,1.358,124.792
261140,Marapi,15477,Confirmed Eruption,2,2000,3,11,2000,4,3,-0.381,100.473
263340,Raung,16156,Confirmed Eruption,2,1999,7,30,,,,-8.119,114.056
263350,Ijen,16175,Confirmed Eruption,1,1999,6,28,1999,6,28,-8.058,114.242
264250,Iliwerung,16350,Confirmed Eruption,0,1999,5,22,1999,9,16,-8.53,123.57
263180,Slamet,15763,Confirmed Eruption,1,1999,5,1,1999,9,16,-7.242,109.208
261140,Marapi,15476,Confirmed Eruption,2,1999,4,16,1999,9,16,-0.381,100.473
264180,Lewotobi,16299,Confirmed Eruption,2,1999,3,31,1999,7,1,-8.542,122.775
261170,Kerinci,15527,Confirmed Eruption,2,1999,3,16,1999,9,16,-1.697,101.264
267020,Karangetang,16539,Confirmed Eruption,3,1999,3,16,2003,10,28,2.781,125.407
264010,Batur,16206,Confirmed Eruption,1,1999,3,15,2000,6,16,-8.242,115.375
261030,Peuet Sague,15394,Confirmed Eruption,1,1999,3,9,1999,4,30,4.914,96.329
262000,Krakatau,15623,Confirmed Eruption,2,1999,2,5,1999,8,16,-6.102,105.423
268030,Ibu,16579,Confirmed Eruption,2,1998,12,18,1999,9,16,1.488,127.63
261170,Kerinci,15526,Confirmed Eruption,2,1998,11,3,,,,-1.697,101.264
267020,Karangetang,16538,Confirmed Eruption,1,1998,7,5,,,,2.781,125.407
